# t   x    y    z   vx   vy   vz
3.80 -189.77 -745.83 238.81 -22.71 -160.78 96.10
3.90 -192.04 -761.91 248.42 -22.69 -160.70 96.07
4.00 -194.31 -777.97 258.03 -22.67 -160.63 96.05
4.10 -196.57 -794.03 267.63 -22.66 -160.56 96.02
4.20 -198.84 -810.09 277.23 -22.64 -160.49 96.00
4.30 -201.10 -826.13 286.83 -22.62 -160.43 95.98
4.40 -203.36 -842.17 296.43 -22.61 -160.37 95.96
4.60 -207.88 -874.23 315.62 -22.58 -160.25 95.92
4.70 -210.14 -890.25 325.21 -22.57 -160.20 95.90
4.80 -212.40 -906.27 334.79 -22.56 -160.15 95.88
4.90 -214.65 -922.28 344.38 -22.54 -160.09 95.86
5.00 -216.91 -938.29 353.97 -22.53 -160.05 95.84
5.10 -219.16 -954.29 363.55 -22.52 -160.00 95.82
5.20 -221.41 -970.29 373.13 -22.51 -159.96 95.80
5.30 -223.66 -986.28 382.71 -22.50 -159.91 95.79
5.40 -225.91 -1002.27 392.29 -22.49 -159.87 95.77
5.50 -228.16 -1018.26 401.86 -22.48 -159.83 95.75
5.60 -230.41 -1034.24 411.44 -22.48 -159.79 95.74
5.70 -232.65 -1050.22 421.01 -22.47 -159.75 95.72
5.80 -234.90 -1066.19 430.58 -22.46 -159.72 95.71
5.90 -237.15 -1082.16 440.15 -22.45 -159.68 95.69
6.00 -239.39 -1098.13 449.72 -22.44 -159.65 95.68
6.10 -241.64 -1114.09 459.29 -22.44 -159.61 95.67
6.20 -243.88 -1130.05 468.86 -22.43 -159.58 95.65
6.30 -246.12 -1146.01 478.42 -22.42 -159.55 95.64
6.40 -248.36 -1161.96 487.98 -22.42 -159.52 95.63
6.50 -250.60 -1177.91 497.55 -22.41 -159.49 95.61
6.60 -252.85 -1193.86 507.11 -22.40 -159.46 95.60
6.70 -255.09 -1209.80 516.67 -22.40 -159.43 95.59
6.80 -257.32 -1225.74 526.22 -22.39 -159.41 95.58
6.90 -259.56 -1241.68 535.78 -22.39 -159.38 95.57
7.00 -261.80 -1257.62 545.34 -22.38 -159.36 95.56
7.10 -264.04 -1273.56 554.89 -22.38 -159.33 95.55
7.20 -266.28 -1289.49 564.45 -22.37 -159.31 95.53
7.30 -268.51 -1305.42 574.00 -22.37 -159.28 95.52
7.40 -270.75 -1321.34 583.55 -22.36 -159.26 95.51
7.50 -272.99 -1337.27 593.10 -22.36 -159.24 95.50
7.60 -275.22 -1353.19 602.65 -22.35 -159.22 95.49
7.70 -277.46 -1369.11 612.20 -22.35 -159.19 95.48
7.80 -279.69 -1385.03 621.75 -22.34 -159.17 95.48
7.90 -281.93 -1400.95 631.30 -22.34 -159.15 95.47
8.00 -284.16 -1416.86 640.84 -22.34 -159.13 95.46
8.10 -286.39 -1432.77 650.39 -22.33 -159.12 95.45
8.20 -288.63 -1448.68 659.93 -22.33 -159.10 95.44
8.30 -290.86 -1464.59 669.48 -22.33 -159.08 95.43
8.40 -293.09 -1480.50 679.02 -22.32 -159.06 95.42
8.50 -295.32 -1496.41 688.56 -22.32 -159.04 95.41
8.60 -297.56 -1512.31 698.10 -22.31 -159.03 95.41
8.70 -299.79 -1528.21 707.64 -22.31 -159.01 95.40
8.80 -302.02 -1544.11 717.18 -22.31 -158.99 95.39
8.90 -304.25 -1560.01 726.72 -22.31 -158.98 95.38
9.00 -306.48 -1575.91 736.26 -22.30 -158.96 95.38
9.10 -308.71 -1591.80 745.79 -22.30 -158.95 95.37
9.20 -310.94 -1607.69 755.33 -22.30 -158.93 95.36
9.30 -313.17 -1623.59 764.87 -22.29 -158.92 95.36
9.40 -315.40 -1639.48 774.40 -22.29 -158.90 95.35
9.50 -317.63 -1655.37 783.94 -22.29 -158.89 95.34
9.60 -319.85 -1671.25 793.47 -22.29 -158.87 95.33
9.70 -322.08 -1687.14 803.00 -22.28 -158.86 95.33
9.80 -324.31 -1703.03 812.54 -22.28 -158.85 95.32
9.90 -326.54 -1718.91 822.07 -22.28 -158.83 95.32
10.00 -328.77 -1734.79 831.60 -22.28 -158.82 95.31
0.00 0.00 0.00 0.00 0.00 0.00 0.00
