# t   x    y    z   vx   vy   vz
4.10 -18.04 -16.68 -34.31 -236.36 215.17 1.45
4.20 -37.98 5.03 -30.58 -162.47 219.04 73.03
4.30 -50.59 25.35 -21.23 -89.67 187.31 114.07
4.40 -56.70 42.02 -8.95 -32.47 146.10 131.40
4.50 -57.75 54.54 4.34 11.31 104.28 134.51
4.60 -54.95 62.97 17.49 44.82 64.37 128.40
4.70 -49.18 67.52 29.70 70.48 26.72 115.87
4.80 -41.17 68.42 40.41 89.84 -8.78 98.35
4.90 -31.49 65.86 49.15 103.76 -42.38 76.44
5.00 -20.67 60.03 55.48 112.57 -74.31 50.12
5.10 -9.24 51.08 58.92 115.94 -104.63 18.67
5.20 2.17 39.21 58.89 112.45 -132.80 -19.35
5.30 12.75 24.73 54.61 99.00 -156.77 -66.11
5.40 21.17 8.35 45.10 69.46 -170.84 -124.06
5.50 25.31 -8.21 29.25 13.27 -160.36 -192.95
5.60 22.03 -20.94 6.78 -78.75 -94.21 -256.54
5.70 10.03 -24.02 -18.58 -161.25 32.66 -250.60
5.80 -6.01 -17.38 -39.41 -159.68 100.06 -166.10
5.90 -20.42 -6.57 -52.12 -128.39 116.08 -88.11
6.00 -31.44 4.78 -57.86 -92.17 110.92 -26.55
6.10 -38.83 15.09 -58.03 -55.48 95.29 23.08
6.20 -42.54 23.48 -53.67 -18.68 72.57 64.17
6.30 -42.54 29.31 -45.51 18.51 44.04 98.96
6.40 -38.72 31.97 -34.03 58.01 9.13 130.65
6.50 -30.56 30.50 -19.38 105.22 -38.47 162.37
6.60 -16.64 22.53 -1.51 173.10 -120.90 194.94
6.70 5.72 0.37 17.11 274.16 -322.39 177.55
6.80 29.30 -28.60 30.30 197.28 -256.96 86.22
6.90 46.85 -51.92 37.08 153.72 -209.50 49.45
7.00 60.74 -71.14 40.98 124.20 -174.90 28.56
7.10 72.04 -87.26 43.14 101.73 -147.49 14.57
7.20 81.29 -100.86 44.08 83.37 -124.47 4.30
7.30 88.84 -112.30 44.11 67.65 -104.31 -3.69
7.40 94.91 -121.82 43.42 53.71 -86.10 -10.12
7.50 99.65 -129.59 42.15 41.02 -69.25 -15.42
7.60 103.16 -135.72 40.39 29.23 -53.33 -19.81
7.70 105.53 -140.29 38.23 18.12 -38.07 -23.41
7.80 106.81 -143.36 35.74 7.56 -23.27 -26.21
7.90 107.07 -144.97 33.03 -2.42 -8.94 -28.14
8.00 106.36 -145.18 30.15 -11.68 4.64 -29.33
8.10 104.76 -144.08 27.17 -20.36 17.38 -30.39
8.20 102.30 -141.72 24.06 -28.90 29.83 -31.68
8.30 98.97 -138.10 20.82 -37.62 42.47 -33.17
8.40 94.75 -133.20 17.42 -46.75 55.67 -34.79
8.50 89.59 -126.93 13.86 -56.48 69.77 -36.46
8.60 83.42 -119.18 10.13 -67.06 85.17 -38.14
8.70 76.12 -109.80 6.23 -78.84 102.42 -39.78
8.80 67.56 -98.56 2.18 -92.32 122.34 -41.28
8.90 57.53 -85.13 -2.01 -108.37 146.31 -42.46
9.00 45.69 -68.97 -6.27 -128.47 176.85 -42.81
9.10 31.47 -49.15 -10.45 -155.84 219.53 -40.84
9.20 13.73 -23.65 -13.98 -198.91 290.47 -29.65
9.30 -9.22 12.23 -11.29 -260.21 427.20 83.28
9.40 -31.73 49.60 -1.52 -189.96 320.14 112.16
9.50 -49.09 78.98 9.69 -157.12 267.52 112.16
9.60 -63.78 104.08 20.73 -136.82 234.39 108.54
9.70 -76.75 126.33 31.38 -122.45 210.70 104.43
9.80 -88.44 146.49 41.62 -111.47 192.48 100.48
9.90 -99.15 165.00 51.49 -102.65 177.77 96.80
10.00 -109.05 182.17 61.00 -95.33 165.50 93.40
10.10 -118.27 198.19 70.18 -89.08 155.00 90.27
